timestamp,ax,ay,az,gx,gy,gz,activity
44001, 1.000000, 1.051025, -0.145630, 0.413452, -23.681648, -87.707520, -1.953125,right_up
44021, 1.000000, 1.023071, -0.178711, 0.373047, -13.732914, -93.627960, -7.141115,right_up
44041, 1.000000, 1.010376, -0.133423, 0.222046, -11.352543, -93.200714, -15.014652,right_up
44061, 1.000000, 0.998779, -0.116699, 0.131592, -20.507813, -89.233429, -19.836426,right_up
44081, 1.000000, 0.978882, -0.114258, 0.058350, -19.470215, -84.228516, -23.986824,right_up
44101, 1.000000, 0.945679, -0.079590, 0.014526, -14.099125, -82.824707, -26.062019,right_up
44121, 1.000000, 0.913818, -0.051636, -0.032471, -8.728027, -81.298828, -26.489265,right_up
44141, 1.000000, 0.921265, -0.009644, -0.080322, -7.019045, -76.110840, -24.841316,right_up
44161, 1.000000, 0.918335, 0.020142, -0.135376, -15.136723, -69.030762, -21.362305,right_up
44181, 1.000000, 0.857910, 0.029663, -0.251709, -3.906251, -56.762711, -19.409180,right_up
44201, 1.000000, 0.790649, -0.009033, -0.353027, 4.455566, -46.813980, -15.075687,right_up
44221, 1.000000, 0.734375, -0.093750, -0.624512, 72.570801, -33.996582, -15.136723,right_up
44241, 1.000000, 0.897827, 0.151001, -0.880981, 127.258331, -1.708985, -14.526371,right_up
44261, 1.000000, 1.055542, 0.195801, -0.926758, 108.032257, 62.377945, -4.760742,right_up
44281, 1.000000, 1.022827, 0.278442, -0.892578, 39.794922, 142.089844, 11.474613,right_up
44301, 1.000000, 0.856323, 0.229248, -0.455566, -28.930672, 190.856995, 25.573738,right_up
44321, 1.000000, 0.766724, 0.156128, -0.199585, -41.870117, 219.421448, 46.508804,right_up
44341, 1.000000, 0.699951, -0.008667, 0.475342, -49.194351, 210.022034, 53.955093,right_up
44361, 1.000000, 0.636108, -0.131226, 0.906616, -53.527847, 171.325684, 48.645035,right_up
44381, 1.000000, 0.711060, -0.225586, 1.174561, -62.683121, 75.622559, 25.817879,right_up
44401, 1.000000, 0.926025, -0.276123, 1.079346, -59.997574, 22.644051, 10.375977,right_up
44421, 1.000000, 0.983765, -0.325928, 0.907593, -37.414551, -18.066406, -3.356935,right_up
44441, 1.000000, 1.029785, -0.272827, 0.688354, 10.192871, -45.043961, -17.822266,right_up
44461, 1.000000, 1.058350, -0.189819, 0.464355, 20.019531, -55.847183, -25.146492,right_up
44481, 1.000000, 1.040771, -0.134399, 0.319580, 10.314941, -56.457535, -29.357918,right_up
44501, 1.000000, 1.010986, -0.077026, 0.258545, -14.221195, -52.124039, -29.907234,right_up
44521, 1.000000, 0.979248, -0.094116, 0.219971, -26.855476, -49.133316, -30.334480,right_up
44541, 1.000000, 0.932983, -0.104370, 0.176514, 6.713869, -49.072281, -34.423828,right_up
44561, 1.000000, 0.953369, 0.016479, 0.173340, 7.751467, -47.424332, -31.127937,right_up
44581, 1.000000, 0.948364, 0.039063, 0.157959, -3.417970, -43.212891, -24.963387,right_up
44601, 1.000000, 0.927734, 0.044678, 0.063232, -9.460449, -37.292480, -17.700195,right_up
44621, 1.000000, 0.917969, 0.055908, 0.189697, 8.300781, -33.630371, -13.488773,right_up
44641, 1.000000, 0.905273, 0.054321, 0.114014, -0.122070, -36.865234, -10.742188,right_up
44661, 1.000000, 0.886719, 0.062744, 0.078125, 8.361816, -36.376953, -7.080080,right_up
44681, 1.000000, 0.876709, 0.060425, 0.030640, 9.765625, -35.888672, -2.441406,right_up
44701, 1.000000, 0.861572, 0.043579, -0.023193, 15.563969, -32.470703, 1.037598,right_up
44721, 1.000000, 0.812988, -0.039917, -0.106445, 27.404793, -34.484863, 6.652834,right_up
44741, 1.000000, 0.765747, -0.132324, -0.261963, 65.612793, -26.245125, 7.751467,right_up
44761, 1.000000, 0.850464, -0.150879, -0.451050, 134.704590, -10.253906, 5.432129,right_up
44781, 1.000000, 1.109131, 0.215820, -0.442505, 81.726074, 31.127937, 10.681152,right_up
44801, 1.000000, 1.153076, -0.086548, -0.445923, 6.713869, 129.638672, 6.896975,right_up
44821, 1.000000, 1.017944, 0.004761, -0.182861, -30.883797, 165.649414, -0.122070,right_up
44841, 1.000000, 0.934692, -0.015991, 0.254272, -31.555183, 182.128967, 3.051759,right_up
44861, 1.000000, 0.843872, -0.014038, 0.689209, -45.410172, 168.457031, 4.943848,right_up
44881, 1.000000, 0.768921, -0.067993, 0.988281, -71.838379, 127.319366, 10.803223,right_up
44901, 1.000000, 0.851563, -0.072510, 1.150269, -84.167480, 72.998047, 12.756351,right_up
44921, 1.000000, 0.912109, -0.157471, 1.125732, -82.214355, 19.165039, 10.559082,right_up
44941, 1.000000, 0.961182, -0.210083, 0.988403, -52.551285, -25.756844, 3.112794,right_up
44961, 1.000000, 1.005249, -0.183594, 0.820679, -17.517090, -58.593765, -7.202150,right_up
44981, 1.000000, 1.033936, -0.135254, 0.626465, 5.249023, -77.026367, -15.686039,right_up
45001, 1.000000, 1.017334, -0.053955, 0.403076, 8.117676, -85.388184, -22.888191,right_up
45021, 1.000000, 0.986694, -0.036133, 0.288940, 0.427246, -85.205078, -23.681648,right_up
45041, 1.000000, 0.969116, -0.057007, 0.196655, 1.708985, -82.092285, -24.292000,right_up
45061, 1.000000, 0.964966, -0.040527, 0.146118, 12.573246, -78.430176, -23.559578,right_up
45081, 1.000000, 0.975708, -0.013306, 0.124512, 3.906251, -68.603516, -19.592285,right_up
45101, 1.000000, 0.942505, -0.022461, 0.075562, 1.342773, -59.936539, -17.211914,right_up
45121, 1.000000, 0.938354, 0.026855, 0.007690, -3.906251, -53.161636, -13.732914,right_up
45141, 1.000000, 0.921753, 0.014771, 0.075684, -9.155273, -45.776382, -9.643555,right_up
45161, 1.000000, 0.873779, -0.035889, 0.028320, -11.779789, -44.189453, -8.178711,right_up
45181, 1.000000, 0.855103, -0.024536, 0.015991, 0.671387, -41.870117, -6.713869,right_up
45201, 1.000000, 0.808350, -0.027222, -0.041016, 6.591799, -41.259766, -1.953125,right_up
45221, 1.000000, 0.761963, -0.078735, -0.219238, -8.666992, -43.640137, 1.586915,right_up
45241, 1.000000, 0.807983, -0.180908, -0.388428, 106.323273, -26.245125, -2.807618,right_up
45261, 1.000000, 1.128052, 0.287109, -0.392334, 133.605957, 4.333496, -0.366211,right_up
45281, 1.000000, 1.138184, 0.194824, -0.497559, 24.292000, 63.415543, 16.967773,right_up
45301, 1.000000, 1.061401, 0.070313, -0.497192, 2.075195, 116.272003, 22.033691,right_up
45321, 1.000000, 0.976196, 0.039551, -0.205566, -23.315437, 150.756836, 24.719246,right_up
45341, 1.000000, 0.903809, -0.022827, 0.130737, -3.723145, 173.034668, 26.245125,right_up
45361, 1.000000, 0.791626, -0.074707, 0.548218, -29.418953, 154.846191, 25.512703,right_up
